Number of Disks	Execution Time (ns)
3		0.000000
4		0.000000
5		0.000000
6		0.000000
7		0.000000
8		0.000000
9		0.000000
10		0.000000
11		0.000000
12		0.000000
13		0.000000
14		0.000000
15		0.000000
16		1000000.000000
17		0.000000
18		1000000.000000
19		1000000.000000
20		2000000.000000
21		4000000.000000
22		8000000.000000
23		14000000.000000
24		30000000.000000
25		63000000.000000
26		124000000.000000
27		254000000.000000
28		516000000.000000
29		1051000000.000000
30		2056000000.000000
