N,Time
5,2.8e+007
7,5.3e+007
9,1.38e+008
11,1.07e+008
13,4.19e+008
15,6.24e+008
17,1.042e+009
19,1.365e+009
21,1.523e+009
23,2.327e+009
25,2.264e+009
27,3.315e+009
29,4.523e+009
31,6.422e+009
33,6.541e+009
35,8.116e+009
37,9.073e+009
39,9.72e+009
41,1.4383e+010
43,1.2166e+010
45,2.0493e+010
47,2.3887e+010
49,2.4141e+010
